mz	ion
70.0651	R
158.0924	y1-NH3
354.2023	b3-NH3
531.2885	y4
709.3879	b6-H2
84.0808	K
175.1190	y1
371.2289	b3
553.3344	a5-NH3
710.3719	b6-NH
86.0964	L
197.1648	a2-NH3
400.1939	y3-H2O
570.3610	a5
727.3985	b
86.0964	I
214.1914	a2
401.1779	y3-NH3
580.3453	b5-H2O
745.4090	b6+H2
87.0553	N
225.1598	b2-NH3
418.2045	y3
581.3293	b5-NH3
755.4046	y6-H2
87.0917	R
242.1863	b2
439.2915	a4-NH3
598.3559	b5
756.3886	y6-NH
100.0869	R
286.1510	y2-H2O
456.3180	a4
616.3665	b5+H2O
773.4152	y
101.1073	K
287.1350	y2-NH3
466.3024	b4-H2O
642.3206	y5-H2O
883.4996	MH-H2
102.0550	E
304.1615	y2
467.2864	b4-NH3
643.3046	y5-NH3
884.4836	MH-NH
112.0869	R
326.2074	a3-NH3
484.3130	b4
660.3311	y5
901.5102	M
126.0913	K
343.2340	a3
513.2780	y4-H2O
682.3770	a6-NH
129.1022	K
353.2183	b3-H2O
514.2620	y4-NH3
699.4036	a